"stipes","bundles","site","transect","key","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
18,2,"1","1","1_1",0.03,0.1,0.04,0.02,0,0,0.04,0,0,0,0.7,0.02,0.02,0,0.01,0,0.01,0,0
20,4,"1","2","1_2",0.01,0.09,0.03,0.01,0,0,0.05,0,0,0,0.72,0.04,0.01,0,0.01,0,0.01,0,0
39,7,"1","3","1_3",0,0.07,0.07,0.02,0,0,0.02,0,0,0,0.68,0.06,0.02,0,0.03,0,0.01,0.01,0
49,11,"1","4","1_4",0.01,0.01,0,0.01,0,0,0.02,0,0,0,0.71,0.1,0.06,0,0.07,0,0,0,0
0,0,"2","1","2_1",0.16,0.18,0.03,0.07,0.01,0,0.14,0.02,0,0,0.01,0.01,0.29,0,0.1,0,0,0,0
6,0,"2","2","2_2",0.02,0.02,0.03,0.01,0.22,0,0.05,0.05,0,0,0.01,0,0.44,0,0.12,0.02,0,0,0.01
0,0,"3","1","3_1",0.01,0.01,0.04,0,0.23,0,0.2,0.02,0,0,0.03,0.1,0.21,0,0.11,0.05,0,0,0
1,0,"3","2","3_2",0.05,0.04,0.03,0.03,0.21,0,0.06,0,0,0,0.02,0,0.44,0,0.08,0.01,0,0,0
48,9,"3","3","3_3",0.17,0.06,0.01,0.06,0.04,0,0.08,0,0,0,0.01,0.01,0.48,0,0.07,0,0,0,0
161,31,"3","4","3_4",0,0,0,0,0.17,0,0.22,0.01,0,0,0.03,0.46,0,0,0.07,0.03,0,0,0
1,0,"4","1","4_1",0.11,0.22,0.02,0.11,0.04,0,0.11,0,0,0,0.01,0.01,0.29,0,0.05,0,0,0,0
0,0,"4","2","4_2",0.03,0.06,0.02,0.02,0.17,0,0.02,0.04,0,0,0.03,0,0.52,0,0.07,0.01,0,0,0
39,5,"5","1","5_1",0.01,0.05,0.04,0.1,0.03,0,0.14,0.02,0,0,0.16,0.02,0.18,0,0.22,0,0,0,0
3,0,"5","2","5_2",0.03,0.11,0.08,0.33,0.01,0,0.13,0.01,0,0,0.07,0.01,0.12,0,0.09,0,0,0,0
28,5,"5","3","5_3",0.02,0.09,0.03,0.05,0.06,0,0.04,0.02,0,0.01,0.14,0.01,0.23,0,0.29,0.01,0.01,0,0
123,12,"6","1","6_1",0.04,0.05,0.03,0.05,0.01,0,0.11,0,0,0.14,0.27,0.19,0,0,0.11,0,0,0,0
87,12,"6","2","6_2",0.05,0.08,0.02,0.04,0,0,0.11,0,0,0.04,0.45,0.08,0.01,0,0.11,0,0,0,0
137,21,"6","3","6_3",0.04,0.17,0.03,0.13,0.01,0,0.05,0,0,0,0.4,0.02,0.1,0,0.04,0,0,0,0
69,15,"6","4","6_4",0.12,0.18,0.02,0.09,0,0,0.03,0,0,0,0.35,0.03,0.06,0,0.11,0,0,0,0
53,6,"7","1","7_1",0.08,0.13,0.05,0.11,0,0,0.09,0.01,0,0,0.37,0.03,0.06,0,0.06,0,0,0,0
1,0,"7","2","7_2",0.04,0.11,0.02,0.11,0.01,0,0.05,0.01,0,0.01,0.29,0.07,0.07,0,0.2,0,0,0,0
62,9,"7","3","7_3",0.09,0.19,0.06,0.1,0.01,0,0.03,0.02,0,0,0.26,0.08,0.05,0,0.09,0,0,0,0
7,1,"8","1","8_1",0.15,0.05,0.08,0.26,0.01,0.01,0.18,0.01,0,0,0.1,0.02,0,0,0.11,0,0,0,0
7,0,"8","2","8_2",0.12,0.06,0.07,0.15,0.01,0.01,0.12,0.02,0,0,0.18,0.05,0.01,0,0.19,0,0,0,0
